age,age_onset,birthplace,filename,native_language,sex,speakerid,country,file_missing?,zero_crossing_count,zero_crossing_sum
20.0,5.0,"addis ababa, ethiopia",amharic1,amharic,female,6,ethiopia,False,3286,212.07373046875
29.0,19.0,"gonder, ethiopia",amharic10,amharic,female,998,ethiopia,False,4137,177.0703125
24.0,17.0,"addis ababa, ethiopia",amharic11,amharic,female,1129,ethiopia,False,2399,202.8017578125
26.0,15.0,"addis ababa, ethiopia",amharic12,amharic,female,1130,ethiopia,False,2257,150.427734375
28.0,6.0,"addis ababa, ethiopia",amharic13,amharic,female,1131,ethiopia,False,2811,255.82080078125
31.0,12.0,"addis ababa, ethiopia",amharic14,amharic,male,1515,ethiopia,False,2591,145.3525390625
23.0,6.0,"addis ababa, ethiopia",amharic15,amharic,male,1516,ethiopia,False,2879,170.0732421875
36.0,11.0,"werder, ethiopia",amharic16,amharic,male,1854,ethiopia,False,2506,176.36376953125
21.0,9.0,"addis ababa, ethiopia",amharic17,amharic,male,1906,ethiopia,False,2169,185.75537109375
20.0,2.0,"addis ababa, ethiopia",amharic18,amharic,female,2017,ethiopia,False,2026,178.931640625
19.0,10.0,"tefki, ethiopia",amharic19,amharic,female,2132,ethiopia,False,2024,219.45849609375
23.0,7.0,"arba minch, ethiopia",amharic2,amharic,male,7,ethiopia,False,4576,296.6044921875
52.0,24.0,"addis ababa, ethiopia",amharic20,amharic,female,2135,ethiopia,False,3338,354.26220703125
27.0,8.0,"addis ababa, ethiopia",amharic3,amharic,male,8,ethiopia,False,2059,104.3974609375
20.0,7.0,"addis ababa, ethiopia",amharic4,amharic,male,9,ethiopia,False,3768,588.7412109375
31.0,7.0,"addis ababa, ethiopia",amharic5,amharic,male,10,ethiopia,False,2248,327.05029296875
31.0,4.0,"addis ababa, ethiopia",amharic6,amharic,female,985,ethiopia,False,2132,200.91796875
38.0,13.0,"addis ababa, ethiopia",amharic7,amharic,male,989,ethiopia,False,2765,182.1513671875
30.0,12.0,"addis ababa, ethiopia",amharic8,amharic,female,990,ethiopia,False,4063,550.40673828125
40.0,12.0,"addis ababa, ethiopia",amharic9,amharic,male,991,ethiopia,False,3603,163.11865234375
38.0,12.0,"riyadh, saudi arabia",arabic1,arabic,female,11,saudi arabia,False,3914,213.41357421875
22.0,3.0,"jiddah, saudi arabia",arabic102,arabic,male,2161,saudi arabia,False,1677,136.546875
19.0,8.0,"riyadh, saudi arabia",arabic30,arabic,female,1133,saudi arabia,False,2017,138.16162109375
56.0,16.0,"jiddah, saudi arabia",arabic35,arabic,male,1391,saudi arabia,False,2591,149.9384765625
36.0,6.0,"jiddah, saudi arabia",arabic36,arabic,male,1392,saudi arabia,False,3317,205.8544921875
18.0,16.0,"jiddah, saudi arabia",arabic37,arabic,male,1393,saudi arabia,False,1784,111.25634765625
19.0,9.0,"shady grove, maryland, usa",arabic38,arabic,female,1394,usa,False,2754,188.69775390625
22.0,5.0,"jiddah, saudi arabia",arabic39,arabic,male,1405,saudi arabia,False,2812,151.66259765625
19.0,13.0,"jiddah, saudi arabia",arabic40,arabic,male,1420,saudi arabia,False,3028,176.8837890625
25.0,7.0,"riyadh, saudi arabia",arabic41,arabic,male,1421,saudi arabia,False,3187,239.07373046875
21.0,13.0,"jiddah, saudi arabia",arabic42,arabic,male,1422,saudi arabia,False,5585,298.3017578125
29.0,7.0,"jiddah, saudi arabia",arabic44,arabic,female,1455,saudi arabia,False,2793,148.81494140625
32.0,12.0,"fort collins, colorado, usa",arabic45,arabic,female,1456,usa,False,3545,177.2861328125
28.0,13.0,"jiddah, saudi arabia",arabic46,arabic,male,1457,saudi arabia,False,3153,135.849609375
39.0,16.0,"jiddah, saudi arabia",arabic47,arabic,male,1458,saudi arabia,False,5529,209.38427734375
29.0,12.0,"mecca, saudi arabia",arabic48,arabic,male,1459,saudi arabia,False,3021,127.701171875
26.0,8.0,"medina, saudi arabia",arabic49,arabic,male,1460,saudi arabia,False,3377,153.34326171875
36.0,22.0,"jiddah, saudi arabia",arabic50,arabic,male,1461,saudi arabia,False,3397,165.9755859375
23.0,12.0,"jiddah, saudi arabia",arabic51,arabic,male,1486,saudi arabia,False,2222,144.9033203125
21.0,9.0,"jiddah, saudi arabia",arabic52,arabic,female,1487,saudi arabia,False,2240,176.38623046875
19.0,18.0,"ad dammam, saudi arabia",arabic62,arabic,male,1768,saudi arabia,False,4209,559.7177734375
23.0,6.0,"riyadh, saudi arabia",arabic64,arabic,male,1777,saudi arabia,False,2159,142.60498046875
50.0,14.0,"medina, saudi arabia",arabic66,arabic,male,1784,saudi arabia,False,4086,471.34619140625
20.0,6.0,"london, uk",arabic68,arabic,male,1805,uk,False,3149,269.39990234375
26.0,2.0,"riyadh, saudi arabia",arabic75,arabic,female,1885,saudi arabia,False,1832,171.5830078125
25.0,4.0,"jiddah, saudi arabia",arabic76,arabic,male,1892,saudi arabia,False,2256,222.6337890625
18.0,4.0,"ad dammam, saudi arabia",arabic77,arabic,female,1894,saudi arabia,False,2051,240.5341796875
19.0,3.0,"washington, district of columbia, usa",arabic78,arabic,female,1897,usa,False,1780,196.3857421875
24.0,13.0,"medina, saudi arabia",arabic79,arabic,female,1899,saudi arabia,False,2047,233.4091796875
25.0,11.0,"najran, saudi arabia",arabic80,arabic,male,1901,saudi arabia,False,3300,194.7890625
22.0,17.0,"riyadh, saudi arabia",arabic81,arabic,male,1914,saudi arabia,False,2485,151.5576171875
22.0,21.0,"riyadh, saudi arabia",arabic83,arabic,male,1920,saudi arabia,False,2653,295.86279296875
26.0,12.0,"medina, saudi arabia",arabic84,arabic,female,1927,saudi arabia,False,2441,287.67529296875
24.0,14.0,"ad dammam, saudi arabia",arabic85,arabic,female,1963,saudi arabia,False,2205,230.77490234375
57.0,12.0,"riyadh, saudi arabia",arabic91,arabic,female,2086,saudi arabia,False,4817,515.7197265625
21.0,7.0,"riyadh, saudi arabia",arabic96,arabic,male,2153,saudi arabia,False,2706,208.220703125
25.0,16.0,"ad dammam, saudi arabia",arabic99,arabic,female,2157,saudi arabia,False,3765,287.92529296875
23.0,11.0,"armavir, russia",armenian6,armenian,male,1228,russia,False,1359,71.14501953125
43.0,40.0,"jianchuan, yunnan, china",bai1,bai,female,28,china,False,5236,1044.35888671875
54.0,10.0,"erding, bavaria, germany",bavarian1,bavarian,female,687,germany,False,2056,199.2529296875
52.0,10.0,"berchtesgaden, germany",bavarian2,bavarian,female,1045,germany,False,2816,182.3388671875
34.0,3.5,"durgapur, west bengal, india",bengali11,bengali,male,1018,india,False,2143,127.6787109375
26.0,4.0,"kolkata, india",bengali14,bengali,male,1973,india,False,1996,100.76806640625
29.0,4.0,"jamshedpur, jharkhand, india",bengali6,bengali,male,624,india,False,1770,133.07666015625
61.0,12.0,"kolkata, india",bengali9,bengali,female,987,india,False,2738,146.72265625
22.0,12.0,"hong kong, china",cantonese1,cantonese,female,45,china,False,2933,217.7763671875
25.0,3.0,"xiamen, fujian, china",cantonese10,cantonese,female,505,china,False,1936,171.41943359375
22.0,3.0,"hong kong, china",cantonese11,cantonese,female,544,china,False,2020,203.37353515625
20.0,4.0,"macau, china",cantonese12,cantonese,female,602,china,False,2098,227.07470703125
21.0,3.0,"hong kong, china",cantonese13,cantonese,female,730,china,False,2426,279.6279296875
19.0,3.0,"hong kong, china",cantonese14,cantonese,female,742,china,False,1758,131.93408203125
31.0,12.0,"qingyuan, guangdong, china",cantonese15,cantonese,female,862,china,False,1984,226.4384765625
29.0,3.0,"hong kong, china",cantonese16,cantonese,female,874,china,False,1855,110.72119140625
26.0,3.0,"hong kong, china",cantonese17,cantonese,female,878,china,False,2145,111.255859375
19.0,3.0,"hong kong, china",cantonese18,cantonese,male,885,china,False,1972,79.88623046875
28.0,7.0,"hong kong, china",cantonese19,cantonese,female,1247,china,False,2953,270.25341796875
20.0,13.0,"hong kong, china",cantonese2,cantonese,male,46,china,False,3642,362.419921875
18.0,3.0,"hong kong, china",cantonese20,cantonese,male,1480,china,False,2921,129.4375
18.0,4.0,"hong kong, china",cantonese21,cantonese,female,1558,china,False,2264,227.56005859375
30.0,3.0,"hong kong, china",cantonese22,cantonese,female,1974,china,False,2034,212.48779296875
33.0,6.0,"hong kong, china",cantonese23,cantonese,male,1975,china,False,2343,195.32421875
22.0,6.0,"hong kong, china",cantonese3,cantonese,male,47,china,False,1910,230.92578125
29.0,13.0,"fuzhou, fujian, china",cantonese4,cantonese,female,48,china,False,3034,425.74658203125
18.0,14.0,"hong kong, china",cantonese5,cantonese,male,49,china,False,2967,185.0126953125
25.0,5.0,"hong kong, china",cantonese6,cantonese,male,462,china,False,2593,258.2158203125
31.0,4.0,"hong kong, china",cantonese7,cantonese,male,494,china,False,2297,220.701171875
23.0,2.0,"hong kong, china",cantonese8,cantonese,female,498,china,False,1655,132.9482421875
22.0,7.0,"hong kong, china",cantonese9,cantonese,male,502,china,False,2405,241.54541015625
39.0,12.0,"essen, belgium",dutch10,dutch,male,913,belgium,False,2372,186.1240234375
41.0,14.0,"brugge, belgium",dutch11,dutch,male,929,belgium,False,2375,125.77783203125
23.0,12.0,"antwerp, belgium",dutch16,dutch,female,1260,belgium,False,1949,176.591796875
21.0,12.0,"wilrijk, belgium",dutch17,dutch,female,1261,belgium,False,1910,260.03466796875
23.0,14.0,"antwerp, belgium",dutch18,dutch,male,1262,belgium,False,2217,215.2236328125
22.0,11.0,"heist-op-den-berg, belgium",dutch19,dutch,female,1263,belgium,False,1756,231.14111328125
21.0,13.0,"vlaams-brabant, belgium",dutch20,dutch,female,1264,belgium,False,1978,223.642578125
21.0,13.0,"diest, belgium",dutch21,dutch,female,1265,belgium,False,2105,269.15673828125
23.0,13.0,"essen, belgium",dutch22,dutch,female,1266,belgium,False,1493,184.9658203125
23.0,13.0,"antwerp, belgium",dutch23,dutch,male,1268,belgium,False,2052,192.40087890625
23.0,14.0,"seoul, south korea",dutch24,dutch,female,1269,south korea,False,1908,233.9619140625
23.0,13.0,"wilrijk, belgium",dutch25,dutch,female,1270,belgium,False,1738,193.58349609375
23.0,13.0,"turnhout, belgium",dutch26,dutch,female,1271,belgium,False,2055,180.97705078125
21.0,13.0,"antwerp, belgium",dutch27,dutch,female,1274,belgium,False,1999,241.216796875
22.0,8.0,"antwerp, belgium",dutch28,dutch,male,1275,belgium,False,1865,153.81201171875
21.0,14.0,"sint-niklaas, belgium",dutch30,dutch,female,1462,belgium,False,2563,332.55322265625
23.0,13.0,"antwerp, belgium",dutch31,dutch,female,1463,belgium,False,2298,198.6904296875
21.0,14.0,"brasschaat, belgium",dutch32,dutch,male,1464,belgium,False,2873,789.0810546875
22.0,9.0,"mechelen, belgium",dutch33,dutch,female,1466,belgium,False,2079,245.7314453125
22.0,14.0,"bornem, belgium",dutch34,dutch,female,1468,belgium,False,2230,211.84130859375
21.0,13.0,"mortsel, belgium",dutch35,dutch,female,1473,belgium,False,1560,113.6689453125
21.0,12.0,"turnhout, belgium",dutch36,dutch,female,1476,belgium,False,1967,143.66552734375
21.0,11.0,"antwerp, belgium",dutch37,dutch,female,1479,belgium,False,2000,220.90673828125
21.0,12.0,"beveren, belgium",dutch38,dutch,female,1481,belgium,False,1809,121.94580078125
18.0,10.0,"bilzen, flanders, belgium",dutch4,dutch,male,743,belgium,False,2236,351.88818359375
21.0,12.0,"antwerp, belgium",dutch44,dutch,female,1740,belgium,False,2311,318.56591796875
22.0,2.0,"sint niklaas, belgium",dutch45,dutch,male,1742,belgium,False,1645,109.47607421875
22.0,12.0,"hulshout, belgium",dutch46,dutch,female,1743,belgium,False,2038,237.287109375
46.0,10.0,"brussels, belgium",dutch6,dutch,female,847,belgium,False,2287,184.76416015625
42.0,0.0,"pittsburgh, pennsylvania, usa",english1,english,male,61,usa,False,1884,158.58203125
35.0,0.0,"davenport, iowa, usa",english10,english,female,62,usa,False,1859,112.029296875
23.0,0.0,"miami, florida, usa",english100,english,female,63,usa,False,1613,149.716796875
18.0,0.0,"toronto, ontario, canada",english101,english,female,64,canada,False,1721,167.3798828125
22.0,0.0,"torrington, connecticut, usa",english102,english,male,65,usa,False,1884,180.50048828125
21.0,0.0,"staten island, new york, usa",english103,english,male,66,usa,False,1443,73.904296875
18.0,0.0,"youngstown, ohio, usa",english104,english,female,67,usa,False,1684,107.8203125
57.0,0.0,"windsor, ontario, canada",english105,english,male,407,canada,False,1990,133.85107421875
39.0,0.0,"los angeles, california, usa",english106,english,female,408,usa,False,1962,159.73828125
19.0,0.0,"chicago, illinois, usa",english107,english,male,416,usa,False,2144,184.61279296875
21.0,0.0,"strabane, northern ireland, uk",english108,english,male,419,uk,False,1915,117.72509765625
26.0,0.0,"concord, new hampshire, usa",english109,english,female,420,usa,False,1943,141.11767578125
35.0,0.0,"staffordshire, uk",english11,english,female,68,uk,False,1802,210.4033203125
21.0,0.0,"great yarmouth, norfolk, uk",english110,english,male,421,uk,False,2307,195.4794921875
21.0,0.0,"bombay, india",english111,english,male,426,india,False,1888,136.2333984375
31.0,0.0,"wrexham, wales, uk",english113,english,male,439,uk,False,2052,225.17724609375
38.0,0.0,"birmingham 2, alabama, usa",english114,english,female,442,usa,False,1794,152.58740234375
31.0,0.0,"st. albans, hertfordshire, uk",english115,english,male,443,uk,False,1810,164.130859375
56.0,0.0,"atlanta, georgia, usa",english116,english,male,444,usa,False,2045,181.93896484375
60.0,0.0,"elmore, alabama, usa",english117,english,female,445,usa,False,1795,142.17626953125
19.0,0.0,"akron, ohio, usa",english118,english,male,446,usa,False,1670,170.73876953125
32.0,0.0,"saskatoon, saskatchewan, canada",english119,english,female,455,canada,False,1899,125.66845703125
71.0,0.0,"leicester, uk",english12,english,female,69,uk,False,2184,259.42578125
65.0,0.0,"saskatoon, saskatchewan, canada",english120,english,male,456,canada,False,2190,112.12255859375
21.0,0.0,"waconia, minnesota, usa",english121,english,male,465,usa,False,1895,123.80517578125
28.0,0.0,"riverside, california, usa",english123,english,female,469,usa,False,1760,101.87060546875
38.0,0.0,"brooklyn, new york, usa",english124,english,male,480,usa,False,1625,119.52197265625
28.0,0.0,"st. george, queensland, australia",english125,english,male,485,australia,False,1537,50.80078125
34.0,0.0,"cincinnati, ohio, usa",english126,english,female,487,usa,False,1635,126.71533203125
39.0,0.0,"new britain, connecticut, usa",english127,english,male,489,usa,False,1618,114.2626953125
20.0,0.0,"miami, florida, usa",english128,english,female,490,usa,False,2005,151.12890625
25.0,0.0,"blackpool, lancashire, uk",english129,english,male,492,uk,False,1628,149.009765625
69.0,0.0,"henley on thames, oxfordshire, uk",english13,english,male,70,uk,False,2156,223.71240234375
23.0,0.0,"west palm beach, florida, usa",english131,english,male,497,usa,False,1702,168.51318359375
18.0,0.0,"toronto, ontario, canada",english132,english,female,503,canada,False,1889,152.32275390625
36.0,0.0,"norwich, new york, usa",english133,english,female,504,usa,False,1962,113.74853515625
22.0,0.0,"belfast, northern ireland, uk",english134,english,female,506,uk,False,2231,150.80810546875
22.0,0.0,"orange beach, alabama, usa",english135,english,male,507,usa,False,1788,167.376953125
25.0,0.0,"calgary, alberta, canada",english136,english,male,508,canada,False,1817,52.720703125
26.0,0.0,"charleston, west virginia, usa",english137,english,male,509,usa,False,1719,137.671875
25.0,0.0,"palmer, alaska, usa",english138,english,female,510,usa,False,1656,150.20458984375
20.0,0.0,"providence, rhode island, usa",english139,english,male,511,usa,False,2024,118.8564453125
40.0,0.0,"belfast, northern ireland, uk",english14,english,male,71,uk,False,1648,171.2822265625
19.0,0.0,"york, uk",english141,english,male,516,uk,False,1630,134.353515625
19.0,0.0,"avon, new york, usa",english142,english,male,517,usa,False,1522,138.8203125
42.0,0.0,"minneapolis, minnesota, usa",english143,english,male,518,usa,False,2156,232.78759765625
24.0,0.0,"barneys river, nova scotia, canada",english144,english,male,519,canada,False,1831,155.4921875
18.0,0.0,"bury st. edmunds, uk",english145,english,male,521,uk,False,1841,62.376953125
22.0,0.0,"blytheville, arkansas, usa",english146,english,male,522,usa,False,1982,151.03076171875
40.0,0.0,"merced, california, usa",english147,english,female,523,usa,False,2173,109.205078125
31.0,0.0,"sydney, australia",english148,english,male,525,australia,False,1769,136.86962890625
18.0,0.0,"lawrenceville, georgia, usa",english149,english,male,526,usa,False,1771,118.7509765625
7.0,0.0,"norton, virginia, usa",english15,english,female,72,usa,False,2373,177.521484375
31.0,0.0,"brownsville, kentucky, usa",english150,english,male,527,usa,False,1794,125.56103515625
18.0,0.0,"baltimore, maryland, usa",english151,english,male,528,usa,False,2391,150.05712890625
18.0,0.0,"adelaide, australia",english152,english,male,529,australia,False,2007,274.35009765625
35.0,0.0,"brisbane, australia",english153,english,male,533,australia,False,2006,112.0048828125
28.0,0.0,"glace bay, nova scotia, canada",english154,english,male,534,canada,False,1801,149.47021484375
35.0,0.0,"oakland, california, usa",english155,english,male,535,usa,False,1784,162.4296875
35.0,0.0,"fort worth, texas, usa",english157,english,male,538,usa,False,1625,108.81884765625
18.0,0.0,"washington, district of columbia, usa",english158,english,female,540,usa,False,1955,138.0283203125
18.0,0.0,"ottawa, ontario, canada",english159,english,male,541,canada,False,1902,206.88623046875
21.0,0.0,"wise, virginia, usa",english16,english,male,73,usa,False,2221,154.73193359375
21.0,0.0,"redwood falls, minnesota, usa",english160,english,female,542,usa,False,1882,174.642578125
75.0,0.0,"wakefield, ohio, usa",english161,english,female,546,usa,False,2284,197.11181640625
41.0,0.0,"delaware, ohio, usa",english162,english,female,548,usa,False,1799,154.3310546875
41.0,0.0,"fairview park, ohio, usa",english163,english,male,547,usa,False,1975,169.021484375
38.0,0.0,"leeds, uk",english164,english,male,549,uk,False,2236,149.263671875
43.0,0.0,"detroit, michigan, usa",english165,english,female,550,usa,False,2010,182.787109375
18.0,0.0,"glenside, pennsylvania, usa",english166,english,male,551,usa,False,1961,113.77197265625
43.0,0.0,"lakeview, michigan, usa",english167,english,male,552,usa,False,1968,180.3603515625
40.0,0.0,"oceanside, california, usa",english168,english,male,554,usa,False,1839,140.095703125
18.0,0.0,"cleveland, mississippi, usa",english169,english,male,555,usa,False,1627,148.5771484375
79.0,0.0,"darwin va, virginia, usa",english17,english,male,74,usa,False,1913,89.060546875
50.0,0.0,"belmont, mississippi, usa",english170,english,female,556,usa,False,2054,92.03564453125
21.0,0.0,"st. louis, missouri, usa",english171,english,male,563,usa,False,1537,152.376953125
19.0,0.0,"libertyville, illinois, usa",english173,english,male,567,usa,False,1754,196.48388671875
24.0,0.0,"seattle, washington, usa",english175,english,male,572,usa,False,1759,115.4091796875
18.0,0.0,"elizabeth city, north carolina, usa",english176,english,female,573,usa,False,1945,248.5673828125
23.0,0.0,"new orleans, louisiana, usa",english177,english,female,574,usa,False,1596,76.99658203125
30.0,0.0,"wilkes-barre, pennsylvania, usa",english178,english,male,583,usa,False,2372,127.77880859375
57.0,0.0,"huron, south dakota, usa",english179,english,male,584,usa,False,2081,157.8154296875
39.0,0.0,"dickenson county, virginia, usa",english18,english,female,75,usa,False,1793,134.81494140625
20.0,0.0,"newport, rhode island, usa",english180,english,male,585,usa,False,1683,113.39404296875
68.0,0.0,"new eagle, pennsylvania, usa",english181,english,male,586,usa,False,1930,88.68212890625
50.0,0.0,"troy, new york, usa",english182,english,male,590,usa,False,1628,106.00146484375
18.0,0.0,"hillsboro, oregon, usa",english184,english,female,597,usa,False,1659,92.69775390625
38.0,0.0,"oxford, uk",english185,english,male,604,uk,False,2349,237.57275390625
39.0,0.0,"gadsden, alabama, usa",english186,english,female,605,usa,False,1826,154.35107421875
42.0,0.0,"algona, iowa, usa",english187,english,female,606,usa,False,1820,173.4970703125
35.0,0.0,"edinburgh, scotland, uk",english188,english,male,611,uk,False,1947,130.1015625
19.0,0.0,"grand forks, north dakota, usa",english189,english,male,617,usa,False,1860,152.7802734375
53.0,0.0,"louisville, kentucky, usa",english19,english,male,76,usa,False,2146,133.38916015625
27.0,0.0,"oak park, illinois, usa",english190,english,male,618,usa,False,1594,123.47265625
19.0,0.0,"las cruces, new mexico, usa",english191,english,male,631,usa,False,1636,172.765625
27.0,0.0,"east lansing, michigan, usa",english192,english,female,636,usa,False,2066,137.64306640625
32.0,0.0,"honolulu, hawaii, usa",english193,english,male,637,usa,False,2146,107.6845703125
19.0,0.0,"manchester, england, uk",english194,english,male,638,uk,False,1825,149.927734375
21.0,0.0,"delavan, wisconsin, usa",english195,english,female,639,usa,False,1989,219.24560546875
22.0,0.0,"iowa city, iowa, usa",english197,english,male,662,usa,False,1876,157.95849609375
56.0,0.0,"washington, district of columbia, usa",english198,english,male,663,usa,False,3040,134.62255859375
25.0,0.0,"bay shore, new york, usa",english199,english,male,664,usa,False,1831,221.8486328125
30.0,0.0,"birmingham, uk",english2,english,female,77,uk,False,1816,119.23974609375
27.0,0.0,"mt. holly, north carolina, usa",english20,english,female,78,usa,False,1748,167.88623046875
22.0,0.0,"berkeley, california, usa",english200,english,female,667,usa,False,1536,114.9541015625
26.0,0.0,"warren, michigan, usa",english201,english,female,668,usa,False,1865,87.89404296875
19.0,0.0,"crisfield, maryland, usa",english202,english,male,673,usa,False,2236,105.5126953125
63.0,0.0,"boston, massachusetts, usa",english203,english,female,674,usa,False,2550,168.57177734375
53.0,0.0,"chicago, illinois, usa",english204,english,male,678,usa,False,2071,64.2080078125
45.0,0.0,"blue earth, minnesota, usa",english205,english,female,679,usa,False,1662,157.12158203125
35.0,0.0,"hucknall, nottinghamshire, england, uk",english206,english,female,680,uk,False,2168,254.66162109375
23.0,0.0,"wilkes-barre, pennsylvania, usa",english207,english,female,684,usa,False,1856,249.83349609375
46.0,0.0,"washington, dc, usa",english208,english,male,695,usa,False,2112,123.64990234375
37.0,0.0,"boston, massachusetts, usa",english21,english,female,79,usa,False,1418,110.4052734375
23.0,0.0,"trenton, nova scotia, canada",english210,english,female,705,canada,False,1895,100.33837890625
30.0,0.0,"worcester, massachusetts, usa",english211,english,male,720,usa,False,1837,146.9609375
24.0,0.0,"spartanburg, south carolina, usa",english212,english,male,729,usa,False,1603,97.28759765625
38.0,0.0,"dodge city, kansas, usa",english213,english,male,734,usa,False,1620,125.76123046875
26.0,0.0,"myrtle beach, south carolina, usa",english214,english,male,737,usa,False,1813,97.806640625
20.0,0.0,"lemington spa, warwickshire, uk",english215,english,male,738,uk,False,2289,146.0205078125
48.0,0.0,"chicago, illinois, usa",english216,english,female,739,usa,False,2096,87.88330078125
66.0,0.0,"harrow, middlesex, uk",english217,english,male,740,uk,False,1880,134.01416015625
27.0,0.0,"abingdon, virginia, usa",english218,english,female,747,usa,False,1745,88.41357421875
38.0,0.0,"oakland, california, usa",english219,english,female,748,usa,False,1939,178.6591796875
18.0,0.0,"anaheim, california, usa",english220,english,female,749,usa,False,1895,167.5107421875
45.0,0.0,"london, uk",english221,english,male,754,uk,False,1927,110.27880859375
18.0,0.0,"auburn, indiana, usa",english222,english,female,764,usa,False,1615,112.080078125
18.0,0.0,"erie, pennsylvania, usa",english223,english,male,767,usa,False,1906,184.73388671875
50.0,0.0,"dundee, scotland, uk",english225,english,male,771,uk,False,2430,175.1396484375
38.0,0.0,"walton-on-thames, surrey, uk",english226,english,male,772,uk,False,1937,124.94873046875
42.0,0.0,"camberley, surrey, uk",english227,english,female,773,uk,False,2531,183.51806640625
59.0,0.0,"glasgow, scotland, uk",english228,english,female,774,uk,False,2291,127.4111328125
25.0,0.0,"burlington, vermont, usa",english229,english,male,775,usa,False,1549,120.5771484375
43.0,0.0,"englewood, tennessee, usa",english23,english,male,81,usa,False,2220,161.3427734375
35.0,0.0,"launceston, tasmania, australia",english230,english,male,776,australia,False,1871,203.82275390625
22.0,0.0,"tampa, florida, usa",english231,english,male,791,usa,False,1586,109.9150390625
32.0,0.0,"metairie, louisiana, usa",english232,english,female,798,usa,False,1709,138.84130859375
26.0,0.0,"edmonton, alberta, canada",english233,english,female,793,canada,False,1643,71.5390625
49.0,0.0,"bloomington, indiana, usa",english234,english,male,794,usa,False,2083,195.48046875
52.0,0.0,"richmond, virginia, usa",english235,english,female,795,usa,False,2309,270.43408203125
44.0,0.0,"st. charles, illinois, usa",english236,english,male,799,usa,False,1775,114.15234375
22.0,0.0,"jeffersonville, ohio, usa",english237,english,female,801,usa,False,2071,142.10986328125
